品名,日付,販売方法,卸売数量合計,豊洲,大田,豊島,淀橋,板橋,世田谷,北足立,多摩NT,葛西
ねぎ,2021/2/2,相対,163280,25059,71142,10700,13904,17125,2147,9200,1903,12100
ねぎ,2021/2/2,第三者販売,3210,2140,720,250,－,－,－,－,100,－
ねぎ,2021/2/2,商物分離,5650,－,5650,－,－,－,－,－,－,－
みずな,2021/2/2,せり・入札,4,－,4,－,－,－,－,－,－,－
みずな,2021/2/2,相対,18230,2624,8270,1000,1150,1800,205,1200,481,1500
みずな,2021/2/2,第三者販売,199,15,184,－,－,－,－,－,－,－
みずな,2021/2/2,商物分離,1386,－,1386,－,－,－,－,－,－,－
セルリー,2021/2/2,せり・入札,5,－,5,－,－,－,－,－,－,－
セルリー,2021/2/2,相対,37888,4247,19752,2000,3819,1400,580,4200,990,900
セルリー,2021/2/2,第三者販売,200,200,－,－,－,－,－,－,－,－
ブロッコリー,2021/2/2,せり・入札,308,－,308,－,－,－,－,－,－,－
ブロッコリー,2021/2/2,相対,137510,24442,71857,3000,16755,3400,1644,3200,1212,12000
ブロッコリー,2021/2/2,第三者販売,709,470,204,－,－,－,－,－,35,－
ブロッコリー,2021/2/2,商物分離,19500,－,19500,－,－,－,－,－,－,－
きゅうり,2021/2/2,せり・入札,395,－,70,50,－,75,－,100,－,100
きゅうり,2021/2/2,相対,160070,17302,71260,9950,18282,11125,7481,8500,7670,8500
きゅうり,2021/2/2,第三者販売,770,625,110,－,－,－,－,－,35,－
きゅうり,2021/2/2,商物分離,3450,－,3450,－,－,－,－,－,－,－
なす,2021/2/2,せり・入札,232,－,25,50,－,57,－,100,－,－
なす,2021/2/2,相対,66914,14005,27016,4950,3663,8043,1132,4000,405,3700
なす,2021/2/2,第三者販売,463,259,144,－,－,－,－,－,60,－
なす,2021/2/2,商物分離,1345,－,1345,－,－,－,－,－,－,－
トマト,2021/2/2,せり・入札,682,162,172,32,－,116,－,100,－,100
トマト,2021/2/2,相対,206351,31121,93095,9968,32420,11384,2281,14200,882,11000
トマト,2021/2/2,第三者販売,2778,2394,376,－,－,－,－,－,8,－
トマト,2021/2/2,商物分離,1582,－,1582,－,－,－,－,－,－,－
ミニトマト,2021/2/2,相対,55202,4512,29768,700,6554,1800,819,2700,149,8200
ミニトマト,2021/2/2,第三者販売,8,－,3,－,－,－,－,－,5,－
ミニトマト,2021/2/2,商物分離,2275,－,2275,－,－,－,－,－,－,－
ピーマン,2021/2/2,せり・入札,701,－,45,－,524,32,－,100,－,－
ピーマン,2021/2/2,相対,47636,5553,18150,2998,9956,3568,1302,1500,109,4500
ピーマン,2021/2/2,第三者販売,68,32,34,2,－,－,－,－,－,－
ピーマン,2021/2/2,商物分離,607,－,607,－,－,－,－,－,－,－
じゃがいも,2021/2/2,せり・入札,900,－,900,－,－,－,－,－,－,－
じゃがいも,2021/2/2,相対,264082,22840,95002,7000,25110,23000,7530,40200,1800,41600
じゃがいも,2021/2/2,第三者販売,3870,3700,－,－,－,－,－,－,170,－
じゃがいも,2021/2/2,商物分離,47700,－,45300,－,－,－,－,2400,－,－
さつまいも,2021/2/2,せり・入札,1420,685,735,－,－,－,－,－,－,－
さつまいも,2021/2/2,相対,141276,12434,68950,7000,18242,8300,2470,5800,3380,14700
さつまいも,2021/2/2,第三者販売,1305,745,540,－,－,－,－,－,20,－
さつまいも,2021/2/2,商物分離,3500,－,3500,－,－,－,－,－,－,－
さといも,2021/2/2,せり・入札,400,270,130,－,－,－,－,－,－,－
さといも,2021/2/2,相対,20206,4045,8563,300,1348,1900,190,2500,60,1300
さといも,2021/2/2,商物分離,75,－,75,－,－,－,－,－,－,－
